Date,Price,Open,High,Low,Vol.,Change %
3/3/2023,9780,9980,10000,9780,5560000,-1.411290323
6/3/2023,9920,9910,10050,9800,6100000,-0.401606426
7/3/2023,9960,9830,10000,9830,5190000,-0.4
8/3/2023,10000,9280,10100,9280,7470000,-2.912621359
9/3/2023,10300,10100,10350,10050,18260000,1.980198019801982
10/3/2023,10100,10200,10250,10100,7310000,1.6096579476861272
13/3/2023,9940,9950,10100,9900,15610000,-0.400801603
14/3/2023,9980,9940,10200,9920,12690000,-2.634146341
15/3/2023,10250,10200,10300,10100,15450000,1.4851485148514865
16/3/2023,10100,10150,10200,10100,10740000,-2.884615385
17/3/2023,10400,10000,10650,9400,12410000,4.0000000000000036
20/3/2023,10000,10200,10200,9920,18180000,-1.477832512
21/3/2023,10150,10100,10200,9960,9340000,-0.490196078
22/3/2023,10200,10200,10300,10100,12460000,-2.857142857
23/3/2023,10500,10050,10600,10000,36740000,0
24/3/2023,10500,10600,10650,10400,16190000,-1.408450704
27/3/2023,10650,10500,10700,10400,36930000,-1.843317972
28/3/2023,10850,10700,10850,10600,30380000,0.4629629629629539
29/3/2023,10800,10850,10850,10650,21930000,1.8867924528301883
30/3/2023,10600,10850,10850,10600,18670000,-1.395348837
31/3/2023,10750,10600,10750,10550,12190000,-4.444444444
3/4/2023,11250,10800,11250,10700,58190000,-2.173913043
4/4/2023,11500,11200,11500,11050,40560000,-0.432900433
5/4/2023,11550,11400,11650,11300,44060000,1.7621145374449254
6/4/2023,11350,11650,11700,11250,34120000,-2.155172414
7/4/2023,11600,11350,11600,10950,30150000,-3.333333333
10/4/2023,12000,11600,12000,11500,52950000,2.127659574468077
11/4/2023,11750,11900,12150,11650,29550000,-2.489626556
12/4/2023,12050,12000,12300,11950,34140000,0
13/4/2023,12050,12250,12300,12000,19610000,1.6877637130801704
14/4/2023,11850,12150,12300,11750,50050000,0.4237288135593209
17/4/2023,11800,11750,11900,11550,26220000,2.608695652
18/4/2023,11500,11800,11850,11450,28190000,1.3215859030837107
19/4/2023,11350,11550,11700,11350,34140000,0
20/4/2023,11350,11350,11450,11250,20750000,2.2522522522522515
21/4/2023,11100,11400,11500,11100,21720000,0.9090909090909038
24/4/2023,11000,11100,11200,10900,17910000,0.917431193
25/4/2023,10900,11100,11200,10900,11970000,-0.909090909
26/4/2023,11000,10900,11000,10750,13580000,-0.452488688
27/4/2023,11050,11250,11300,11050,13740000,-1.339285714
28/4/2023,11200,11200,11200,11050,12092200,-6.276150628
23/5/2023,11950,12000,12100,11700,23590000,0.8438818565400741
24/5/2023,11850,12000,12000,11750,25120000,0.8510638297872353
25/5/2023,11750,11800,11800,11500,31820000,1.7316017316017396
26/5/2023,11550,11750,11750,11550,20270000,-1.70212766
29/5/2023,11750,11550,12000,11550,17820000,0
30/5/2023,11750,11700,11800,11650,12310000,0
31/5/2023,11750,11800,11850,11700,27510000,0.42735042735042583
1/6/2023,11700,11850,11850,11650,16080000,-2.904564315
2/6/2023,12050,11950,12200,11900,46110000,-2.429149798
5/6/2023,12350,12250,12400,12100,44910000,-1.2
6/6/2023,12500,12200,12500,12200,30950000,1.6260162601626105
7/6/2023,12300,13350,13350,12250,36530000,0.8196721311475308
8/6/2023,12200,12300,12350,12050,45930000,0.4115226337448652
9/6/2023,12150,12250,12250,11950,24690000,-0.409836066
12/6/2023,12200,12250,12300,12050,14180000,0
13/6/2023,12200,12250,12500,12200,19510000,-2.788844622
14/6/2023,12550,12300,12550,12250,49010000,0.8032128514056325
15/6/2023,12450,12500,12600,12300,21630000,-1.19047619
16/6/2023,12600,12500,12800,12400,42910000,-1.5625
19/6/2023,12800,12600,12850,12500,39110000,1.5873015873015817
20/6/2023,12600,12800,12900,12600,16130000,-0.787401575
21/6/2023,12700,12750,12800,12600,24790000,0
22/6/2023,12700,12750,12850,12700,20290000,-0.78125
23/6/2023,12800,12800,13000,12700,21560000,0.39215686274509665
26/6/2023,12750,12850,12950,12650,22110000,0.3937007874015741
27/6/2023,12700,12750,12850,12650,11680000,-1.167315175
28/6/2023,12850,12750,12900,12700,16760000,1.984126984126977
29/6/2023,12600,12900,12950,12600,16040000,0.8000000000000007
30/6/2023,12500,12600,12650,12500,11530000,-3.474903475
3/7/2023,12950,12550,13100,12550,34880000,-2.264150943
4/7/2023,13250,13100,13350,13000,29820000,0.7604562737642651
5/7/2023,13150,13400,13400,13150,16470000,1.5444015444015413
6/7/2023,12950,13200,13250,12300,24150000,-4.074074074
7/7/2023,13500,13150,13550,13050,25160000,0.3717472118959009
10/7/2023,13450,13500,13600,13450,20160000,-1.102941176
11/7/2023,13600,13600,13750,13500,20700000,-1.090909091
12/7/2023,13750,13600,13750,13450,20320000,-0.722021661
13/7/2023,13850,13700,13850,13650,14800000,1.0948905109489093
14/7/2023,13700,13900,13900,13500,17830000,0
17/7/2023,13700,13800,13800,13650,12230000,-3.180212014
18/7/2023,14150,13900,14200,13800,24220000,0.35460992907800915
19/7/2023,14100,14250,14300,14100,14340000,-2.083333333
20/7/2023,14400,14100,14450,14050,24370000,-0.346020761
21/7/2023,14450,14400,14600,13500,33500000,14.229249011857714
24/7/2023,12650,12600,12950,12500,23000000,0
25/7/2023,12650,12750,12900,11800,17480000,0.7968127490039834
26/7/2023,12550,12600,12700,12500,14350000,0.40000000000000036
27/7/2023,12500,12600,12600,12350,20300000,-0.398406375
28/7/2023,12550,12300,12650,12300,14610000,0
31/7/2023,12550,12600,12700,12500,18090000,0
1/8/2023,12550,12600,12750,12550,21060000,-0.790513834
2/8/2023,12650,12550,12650,12500,19390000,0
3/8/2023,12650,12700,12700,12550,15690000,-4.887218045
4/8/2023,13300,12700,13300,12650,42080000,-1.115241636
7/8/2023,13450,13300,13600,13300,26410000,1.5094339622641506
8/8/2023,13250,13550,13550,13250,23780000,0.7604562737642651
9/8/2023,13150,13200,13400,13100,18460000,1.5444015444015413
10/8/2023,12950,13150,13250,12900,20080000,0
11/8/2023,12950,13000,13100,12700,19150000,0
14/8/2023,12950,13000,13050,12850,21800000,0
15/8/2023,12950,12950,13100,12900,14750000,0.3875968992248069
16/8/2023,12900,12950,13100,12850,15530000,0.3891050583657574
17/8/2023,12850,12950,13000,12850,17720000,6.198347107438007
18/8/2023,12100,12850,12850,12000,33680000,-0.411522634
21/8/2023,12150,11900,12300,11750,26210000,0.4132231404958775
22/8/2023,12100,12200,12250,11750,17960000,0.8333333333333304
23/8/2023,12000,12200,12250,11900,16810000,-0.826446281
24/8/2023,12100,12000,12100,11900,14320000,1.2552301255230214
25/8/2023,11950,12100,12100,11950,13010000,-1.239669421
28/8/2023,12100,12000,12150,11950,16030000,-1.224489796
29/8/2023,12250,12150,12400,12100,19940000,0
30/8/2023,12250,12250,12350,12200,14690000,-1.606425703
31/8/2023,12450,12350,12450,12250,20117369,-1.581027668
5/9/2023,12650,12500,12900,12500,35380000,0
6/9/2023,12650,12650,12800,12600,21250000,-0.784313725
7/9/2023,12750,12700,12950,12700,35280000,0.3937007874015741
8/9/2023,12700,12800,12850,12700,18720000,2.8340080971659853
11/9/2023,12350,12700,12800,12300,31610000,-1.593625498
12/9/2023,12550,12400,12550,12200,22480000,1.6194331983805599
13/9/2023,12350,12600,12650,12300,20550000,0.40650406504065817
14/9/2023,12300,12400,12650,12300,28080000,0.8196721311475308
15/9/2023,12200,12400,12500,12200,24920000,0.8264462809917328
18/9/2023,12100,12250,12350,12050,18750000,0.4149377593360981
19/9/2023,12050,12100,12150,11950,25800000,-1.229508197
20/9/2023,12200,12050,12250,12050,15620000,1.2448132780082943
21/9/2023,12050,12200,12250,12000,17850000,2.1186440677966045
22/9/2023,11800,11900,11950,11500,35090000,7.272727272727275
25/9/2023,11000,11800,11850,11000,25600000,1.851851852
26/9/2023,10800,11000,11300,10800,22000000,-2.702702703
27/9/2023,11100,10850,11100,10600,17670000,1.3698630136986356
28/9/2023,10950,11100,11150,10850,13800000,-1.351351351
29/9/2023,11100,11050,11300,11000,9410000,0.4524886877828038
2/10/2023,11050,11100,11200,11000,9450000,4.739336493
3/10/2023,10550,11000,11000,10400,22390000,-0.938967136
4/10/2023,10650,10450,10750,10400,10570000,1.4285714285714235
5/10/2023,10500,10700,10800,10500,9200000,-1.869158879
6/10/2023,10700,10500,10800,10500,10540000,-0.465116279
9/10/2023,10750,10700,10800,10650,8030000,0
10/10/2023,10750,10750,11000,10750,9840000,-1.376146789
11/10/2023,10900,10900,10950,10800,5610000,0.4608294930875667
12/10/2023,10850,10900,11050,10850,9660000,0.4629629629629539
13/10/2023,10800,10850,10850,10700,10670000,1.8867924528301883
16/10/2023,10600,10800,10850,10600,8100000,0
17/10/2023,10600,10650,10750,10600,6010000,1.9230769230769162
18/10/2023,10400,10600,10650,10250,16580000,0.9708737864077666
19/10/2023,10300,10400,10600,10250,12090000,-1.435406699
20/10/2023,10450,10300,10500,10150,12150000,1.4563106796116498
23/10/2023,10300,10200,10500,10200,10820000,0
24/10/2023,10300,10150,10700,10150,12190000,-2.369668246
25/10/2023,10550,10650,10700,10500,7660000,4.975124378109452
26/10/2023,10050,10400,10450,9990,29070000,-2.427184466
27/10/2023,10300,10150,10300,10050,11620000,1.4778325123152802
30/10/2023,10150,10250,10300,10150,5740000,0.4950495049504955
31/10/2023,10100,10200,10300,10100,11480000,-2.415458937
1/11/2023,10350,10200,10400,10100,13700000,-5.04587156
2/11/2023,10900,10450,10900,10350,19000000,1.869158878504673
3/11/2023,10700,10950,10950,10700,14070000,-2.727272727
6/11/2023,11000,10800,11050,10700,17260000,1.382488479262678
7/11/2023,10850,11000,11050,10850,13520000,-4.405286344
8/11/2023,11350,10900,11350,10750,24200000,0.8888888888888946
9/11/2023,11250,11400,11500,11200,20230000,0.8968609865470878
10/11/2023,11150,11200,11300,11050,18140000,0.9049773755656076
13/11/2023,11050,11150,11300,10950,12020000,-3.493449782
14/11/2023,11450,11200,11750,11100,32220000,-0.865800866
15/11/2023,11550,11650,11850,11450,31700000,-0.431034483
16/11/2023,11600,11500,11600,11400,11150000,3.571428571428581
17/11/2023,11200,11600,11700,11100,26960000,0.9009009009008917
20/11/2023,11100,10450,11350,10450,17130000,-1.333333333
21/11/2023,11250,11300,11350,11150,8850000,-0.442477876
22/11/2023,11300,11200,11300,11150,12000000,3.1963470319634757
23/11/2023,10950,11300,11400,10950,15370000,0
24/11/2023,10950,11050,11050,10650,17190000,1.8604651162790642
27/11/2023,10750,10950,11000,10700,11090000,-0.921658986
28/11/2023,10850,10800,10900,10600,9990000,0
29/11/2023,10850,10900,10950,10800,7750000,0.4629629629629539
30/11/2023,10800,10900,11000,10800,10150000,-0.460829493
1/12/2023,10850,10850,10900,10700,8200000,-2.252252252
4/12/2023,11100,10900,11200,10850,28180000,1.3698630136986356
5/12/2023,10950,11150,11200,10950,14940000,0
6/12/2023,10950,10850,11050,10850,14120000,-0.904977376
7/12/2023,11050,11050,11300,10950,35300000,0.454545455
8/12/2023,11000,11050,11200,10950,18860000,-1.34529148
11/12/2023,11150,11050,11200,11000,21550000,0.45045045045044585
12/12/2023,11100,11150,11250,11100,20440000,1.834862385
13/12/2023,10900,11150,11200,10900,20470000,0.925925926
14/12/2023,10800,10950,11000,10800,20160000,0
15/12/2023,10800,10850,10950,10750,18980000,0.9345794392523255
18/12/2023,10700,10850,10850,10650,13540000,0
19/12/2023,10700,10650,10750,10600,14400000,0
20/12/2023,10700,10750,10800,10650,6810000,0.46948356807512415
21/12/2023,10650,10650,10750,10650,9620000,-0.46728972
22/12/2023,10700,10700,10800,10650,10060000,-0.465116279
25/12/2023,10750,10700,10850,10700,8680000,0.4672897196261738
26/12/2023,10700,10800,10850,10700,14660000,-0.465116279
27/12/2023,10750,10750,10800,10700,7830000,-0.462962963
28/12/2023,10800,10800,10850,10700,9640000,0
29/12/2023,10800,10850,10950,10800,12346100,
