Date,Price,Open,High,Low,Vol.,Change %
7/6/2023,114557,116919,116919,114557,749600,-3
8/6/2023,118100,114557,120107.7,114557,1340000,-0.497512438
9/6/2023,118690.5,118100,120462,116919,820200,-0.495049505
12/6/2023,119281,117981.9,119871.5,115856.1,435100,-1.463414634
13/6/2023,121052.5,118100,121643,117745.7,838900,-0.097465887
14/6/2023,121170.6,120934.4,122824,119871.5,840500,-0.869565217
15/6/2023,122233.5,121052.5,122469.7,119989.6,912200,-1.428571429
16/6/2023,124005,123060.2,125658.4,121879.2,1330000,3.244837758
19/6/2023,120107.7,122351.6,122942.1,120107.7,1140000,1.801801802
20/6/2023,117981.9,119399.1,119399.1,117863.8,1780000,-0.1
21/6/2023,118100,117745.7,118690.5,117745.7,1190000,-0.398406375
22/6/2023,118572.4,120462,120462,117981.9,716500,0.500500501
23/6/2023,117981.9,118572.4,118572.4,117509.5,705200,-0.1
26/6/2023,118100,117037.1,119162.9,117037.1,807200,0
27/6/2023,118100,118100,119281,117745.7,685900,-1.088031652
28/6/2023,119399.1,118100,120698.2,117863.8,821200,-0.785083415
29/6/2023,120343.9,120225.8,121643,119399.1,640600,1.9
30/6/2023,118100,119399.1,120225.8,118100,556600,0
3/7/2023,118100,118100,119044.8,117863.8,490100,0
4/7/2023,118100,118926.7,120343.9,117981.9,682700,-1.960784314
5/7/2023,120462,119281,121052.5,118454.3,953900,1.290963257
6/7/2023,118926.7,120580.1,120698.2,118690.5,1020000,-4.095238095
7/7/2023,124005,118690.5,124005,118572.4,1060000,2.239532619
10/7/2023,121288.7,123886.9,123886.9,120816.3,915100,-0.291262136
11/7/2023,121643,120225.8,124005,120225.8,887600,-0.961538462
12/7/2023,122824,121288.7,123414.5,121288.7,742800,-0.857959962
13/7/2023,123886.9,124005,124005,122469.7,928300,-0.095238095
14/7/2023,124005,123886.9,124005,122824,797700,0.190839695
17/7/2023,123768.8,124005,124005,123060.2,791600,0.479386385
18/7/2023,123178.3,123886.9,124005,123178.3,590000,-2.0657277
19/7/2023,125776.5,123532.6,126485.1,123532.6,926200,1.428571429
20/7/2023,124005,124595.5,125658.4,122351.6,771600,0
21/7/2023,124005,124005,124005,122824,663400,40.00948413
24/7/2023,88569,88992,89246,88484,954840,-3.414394766
25/7/2023,91700,90400,92500,90300,2370000,-1.82012848
26/7/2023,93400,91900,93400,91900,1737418,0.755124056
27/7/2023,92700,93700,93700,92500,957211,-0.322580645
28/7/2023,93000,92700,93000,91800,1207918,1.528384279
31/7/2023,91600,93000,93200,91600,1470000,0.438596491
1/8/2023,91200,91600,92800,91200,1280000,-0.327868852
2/8/2023,91500,91200,91500,91000,1055821,0.993377483
3/8/2023,90600,91500,91500,90500,970917,0.554938957
4/8/2023,90100,90700,91100,90100,1231617,-0.77092511
7/8/2023,90800,90100,90800,90000,1110000,0.110253583
8/8/2023,90700,90800,91200,90100,823400,0.554323725
9/8/2023,90200,90700,90900,90100,591600,1.920903955
10/8/2023,88500,90500,90500,88500,1340000,-2.101769912
11/8/2023,90400,88500,90400,88500,920800,1.573033708
14/8/2023,89000,90300,90300,89000,1470000,0.112485939
15/8/2023,88900,90000,90000,88500,1150000,-0.33632287
16/8/2023,89200,88800,89400,88700,840335,-0.223713647
17/8/2023,89400,89200,89800,88600,2165117,-0.111731844
18/8/2023,89500,89800,90300,89000,2543404,-0.334075724
21/8/2023,89800,89700,90200,89200,1710000,1.583710407
22/8/2023,88400,89500,89700,87800,1830000,2.433371958
23/8/2023,86300,88900,88900,86100,1774811,-0.804597701
24/8/2023,87000,86300,88200,86000,973803,0.928074246
25/8/2023,86200,86200,87000,86000,1466600,-0.91954023
28/8/2023,87000,86400,87500,86200,1380000,-1.583710407
29/8/2023,88400,87000,88500,86900,1390000,-0.785634119
30/8/2023,89100,88500,89500,88500,1350000,0
