Date,Price,Open,High,Low,Vol.,Change %
6/3/2023,24950,25650,25650,24700,17670000,-0.992063492
7/3/2023,25200,24650,25300,24650,14210000,-0.395256917
8/3/2023,25300,25000,25350,24750,12370000,-4.528301887
9/3/2023,26500,25500,27100,25450,42580000,1.923076923
10/3/2023,26000,26500,26850,25950,23480000,4
13/3/2023,25000,25600,25750,25000,29610000,2.459016393
14/3/2023,24400,24900,25050,24100,25330000,-3.747534517
15/3/2023,25350,25100,25500,24900,20100000,3.048780488
16/3/2023,24600,24800,24950,24500,19670000,2.713987474
17/3/2023,23950,24600,24950,23800,10140000,-1.033057851
20/3/2023,24200,25000,25050,24200,16970000,-1.62601626
21/3/2023,24600,24500,24650,24150,10860000,-0.806451613
22/3/2023,24800,24750,25250,24600,16550000,-0.8
23/3/2023,25000,24550,25150,24500,12240000,-0.199600798
24/3/2023,25050,25250,25550,25050,16110000,-1.764705882
27/3/2023,25500,25050,25700,24950,16700000,0.393700787
28/3/2023,25400,25900,26000,25300,17180000,0.197238659
29/3/2023,25350,25500,25650,25150,16810000,-2.5
30/3/2023,26000,25700,26450,25400,39400000,-0.763358779
31/3/2023,26200,26000,26350,25850,22410000,-1.688555347
3/4/2023,26650,26050,27050,26050,24390000,-0.92936803
4/4/2023,26900,26750,26950,26500,17730000,2.476190476
5/4/2023,26250,26900,26900,25900,39450000,2.339181287
6/4/2023,25650,26250,26400,25650,26270000,-1.346153846
7/4/2023,26000,25750,26000,25500,15460000,0.192678227
10/4/2023,25950,26100,26500,25850,16470000,0
11/4/2023,25950,25900,25950,25600,13350000,-0.383877159
12/4/2023,26050,26000,26400,25500,19910000,-1.512287335
13/4/2023,26450,26200,26550,26050,16210000,2.918287938
14/4/2023,25700,26700,26750,25700,16400000,-0.772200772
17/4/2023,25900,25800,26050,25650,10200000,0
18/4/2023,25900,25900,26100,25800,10110000,1.568627451
19/4/2023,25500,26000,26000,25500,14170000,-0.778210117
20/4/2023,25700,25600,25800,25500,9010000,0.390625
21/4/2023,25600,25700,25800,25500,8710000,0.195694716
24/4/2023,25550,25650,25900,25450,7660000,1.996007984
25/4/2023,25050,25750,25900,24900,15450000,-1.764705882
