Date,Price,Open,High,Low,Vol.,Change %
4/4/2023,25150,25250,25350,25050,7190000,-0.592885375
5/4/2023,25300,25100,25300,25050,3320000,1.6064257028112428
6/4/2023,24900,25400,25450,24900,4330000,-0.598802395
7/4/2023,25050,24950,25100,24900,3140000,0.20000000000000018
10/4/2023,25000,25100,25150,24850,3640000,0.2004008016031955
11/4/2023,24950,24900,25050,24700,1600000,0.6048387096774244
12/4/2023,24800,25300,25300,24800,3160000,-0.601202405
13/4/2023,24950,24950,25050,24850,2520000,0
14/4/2023,24950,25050,25100,24850,5020000,-0.2
17/4/2023,25000,24950,25000,24800,1650000,1.0101010101010166
18/4/2023,24750,25000,25000,24750,2100000,1.434426229508201
19/4/2023,24400,24800,24800,24400,4600000,0.6185567010309256
20/4/2023,24250,24500,24550,24200,2470000,0
21/4/2023,24250,24300,24400,24250,2470000,0.20661157024792765
24/4/2023,24200,24300,24450,24100,2270000,0.20703933747412417
25/4/2023,24150,24300,24450,24100,6170000,0.4158004158004047
26/4/2023,24050,24150,24200,23950,3570000,-0.414078675
27/4/2023,24150,24200,24450,24100,2180000,-0.20661157
28/4/2023,24200,24200,24400,24150,9770100,-4.536489152
23/5/2023,25350,25200,25600,25000,21720000,0.7952286282306265
24/5/2023,25150,25500,25500,24950,11050000,0.19920318725099584
25/5/2023,25100,25200,25200,24900,8790000,0.40000000000000036
26/5/2023,25000,25200,25200,24950,8560000,-0.199600798
29/5/2023,25050,25050,25300,23250,16110000,-0.595238095
30/5/2023,25200,25300,25300,25000,22600000,-0.787401575
31/5/2023,25400,25200,25400,25000,29150000,18.691588785046733
1/6/2023,21400,21200,21750,21000,12380000,-1.834862385
2/6/2023,21800,21500,22100,21450,15030000,0.22988505747125743
5/6/2023,21750,22000,22150,21650,13840000,-0.229357798
6/6/2023,21800,21800,21850,21700,9940000,-0.228832952
7/6/2023,21850,21800,22000,21800,8850000,1.157407407407418
8/6/2023,21600,21800,21900,21600,9680000,0.23201856148491462
9/6/2023,21550,21650,21650,21300,7460000,0.4662004662004726
12/6/2023,21450,21650,21650,21350,4290000,-0.464037123
13/6/2023,21550,21450,21600,21400,7350000,-0.461893764
14/6/2023,21650,21650,21900,21600,8030000,-0.230414747
15/6/2023,21700,21650,21700,21550,5410000,-0.458715596
16/6/2023,21800,21700,22100,21600,14410000,0.6928406466512715
19/6/2023,21650,21800,21850,21600,4660000,0.46403712296982924
20/6/2023,21550,21850,21850,21500,5150000,-0.69124424
21/6/2023,21700,21600,21700,21550,5480000,0.23094688221709792
22/6/2023,21650,21750,21900,21650,7970000,-1.141552511
23/6/2023,21900,21700,21900,21600,11430000,-1.573033708
26/6/2023,22250,22200,22500,22000,11780000,0.22522522522523403
27/6/2023,22200,22550,22550,22200,5620000,-0.448430493
28/6/2023,22300,22200,22400,22100,8230000,1.826484018
29/6/2023,21900,22300,22400,21900,8150000,-0.680272109
30/6/2023,22050,21900,22050,21800,5120000,0
3/7/2023,22050,22050,22100,21950,4030000,0.2272727272727204
4/7/2023,22000,21950,22050,21900,4350000,0.2277904328018332
5/7/2023,21950,22000,22100,21950,8120000,1.1520737327188835
6/7/2023,21700,22000,23450,21650,5940000,0
7/7/2023,21700,21700,21750,21500,7140000,-0.913242009
10/7/2023,21900,21800,22100,21700,8870000,-0.454545455
11/7/2023,22000,22300,22300,21950,8850000,0.6864988558352492
12/7/2023,21850,22200,22200,21800,5190000,-0.228310502
13/7/2023,21900,22000,22300,21800,5780000,-0.454545455
14/7/2023,22000,22050,22100,21800,6900000,0
17/7/2023,22000,22050,22050,21900,6530000,0
18/7/2023,22000,21900,22000,21850,6780000,0
19/7/2023,22000,22000,22150,21950,9550000,0.2277904328018332
20/7/2023,21950,21500,22050,21500,5560000,-0.227272727
21/7/2023,22000,22050,23500,21900,4900000,0.2277904328018332
24/7/2023,21950,22000,22200,21950,6190000,-1.348314607
25/7/2023,22250,22000,22500,22000,12820000,0
26/7/2023,22250,22300,22450,22200,5630000,0.9070294784580435
27/7/2023,22050,22250,22350,22050,6910000,-0.898876404
28/7/2023,22250,22200,23700,22050,8220000,-3.050108932
31/7/2023,22950,22500,22950,20650,17790000,0.4376367614879584
1/8/2023,22850,23250,23250,22750,13710000,-1.082251082
2/8/2023,23100,22800,23150,22800,12410000,-1.492537313
3/8/2023,23450,23050,23500,23000,17010000,-3.893442623
4/8/2023,24400,23600,24400,23250,18670000,2.7368421052631486
7/8/2023,23750,23950,24050,23600,28090000,1.4957264957264904
8/8/2023,23400,23800,23900,23300,15270000,0.8620689655172376
9/8/2023,23200,23400,23600,23150,15560000,1.3100436681222627
10/8/2023,22900,23250,23350,22900,12690000,0.2188183807439792
11/8/2023,22850,22900,23200,22600,8470000,-0.867678959
14/8/2023,23050,22900,23050,22800,10440000,0.875273523
15/8/2023,22850,23150,23250,22850,6460000,-0.435729847
16/8/2023,22950,22850,23050,22800,8080000,1.1013215859030812
17/8/2023,22700,22950,23000,22700,10120000,2.483069977426644
18/8/2023,22150,22700,22700,22000,18510000,0.6818181818181834
21/8/2023,22000,21850,22200,21850,7970000,-0.22675737
22/8/2023,22050,22100,22150,21600,9070000,0.9153318077803174
23/8/2023,21850,22200,22300,21850,5540000,-0.907029478
24/8/2023,22050,21850,22250,21850,5310000,0.4555808656036442
25/8/2023,21950,22000,22050,21850,5380000,-0.453514739
28/8/2023,22050,22000,22100,21950,5160000,0
29/8/2023,22050,22050,22200,21950,5770000,-1.781737194
30/8/2023,22450,22050,22500,22050,7220000,-0.663716814
31/8/2023,22600,22450,22600,22450,7826605,-0.659340659
5/9/2023,22750,22700,23050,22650,7630000,-0.871459695
6/9/2023,22950,22750,22950,22600,4780000,0.21834061135370675
7/9/2023,22900,23000,23150,22750,9850000,0.659340659
8/9/2023,22750,22900,22950,22700,5410000,2.0179372197309364
11/9/2023,22300,22750,22900,22250,10100000,-1.978021978
12/9/2023,22750,22350,22750,22200,6680000,0.8869179600886845
13/9/2023,22550,22750,22800,22450,6940000,0.44543429844097204
14/9/2023,22450,22500,22800,22400,6190000,-0.883002208
15/9/2023,22650,22600,22750,22450,5250000,0.8908685968819663
18/9/2023,22450,22600,22650,22300,4360000,0.6726457399103047
19/9/2023,22300,22450,22600,22250,8080000,-0.668151448
